Variable,OR,OR_CI,Signif
(Intercept),0.0778,0.078 (0.048-0.127),***
niv_educPrimaria,1.2962,1.296 (0.868-1.936),
niv_educSecundaria,1.7766,1.777 (1.191-2.649),**
niv_educSuperior,2.0534,2.053 (1.369-3.08),**
quintil_riqPobre,1.2776,1.278 (1.15-1.42),**
quintil_riqMedio,1.4268,1.427 (1.26-1.615),**
quintil_riqRico,1.5461,1.546 (1.344-1.778),**
quintil_riqMuy.rico,1.6032,1.603 (1.36-1.89),**
area_resUrbano,0.9255,0.925 (0.836-1.024),
etnicidadEtnia.castellana,1.2321,1.232 (1.074-1.413),**
etnicidadEtnia.Extranjera,1.1225,1.123 (0.418-3.014),
seguroSIS,1.2883,1.288 (1.119-1.483),**
seguroESSALUD,1.3248,1.325 (1.135-1.547),**
estado_civilPareja.Estable,1.0689,1.069 (0.985-1.16),
emb_planeadoPlaneado,1.4735,1.473 (1.38-1.574),**
SDEPARTAMENTOANCASH,0.8015,0.802 (0.632-1.017),
SDEPARTAMENTOAPURIMAC,1.1583,1.158 (0.913-1.469),
SDEPARTAMENTOAREQUIPA,0.6988,0.699 (0.553-0.884),**
SDEPARTAMENTOAYACUCHO,0.6275,0.628 (0.497-0.793),**
SDEPARTAMENTOCAJAMARCA,0.6613,0.661 (0.519-0.842),**
SDEPARTAMENTOCALLAO,0.9697,0.97 (0.768-1.224),
SDEPARTAMENTOCUSCO,0.5715,0.571 (0.442-0.74),**
SDEPARTAMENTOHUANCAVELICA,0.8408,0.841 (0.66-1.072),
SDEPARTAMENTOHUANUCO,1.3756,1.376 (1.102-1.717),**
SDEPARTAMENTOICA,1.0485,1.049 (0.838-1.311),
SDEPARTAMENTOJUNIN,1.36,1.36 (1.087-1.702),**
SDEPARTAMENTOLA.LIBERTAD,0.7349,0.735 (0.584-0.925),**
SDEPARTAMENTOLAMBAYEQUE,0.8407,0.841 (0.67-1.054),
SDEPARTAMENTOLIMA.PROVINCIA,0.8721,0.872 (0.714-1.065),
SDEPARTAMENTOLIMA.REGION,1.0637,1.064 (0.846-1.338),
SDEPARTAMENTOLORETO,1.5228,1.523 (1.216-1.907),**
SDEPARTAMENTOMADRE.DE.DIOS,1.3011,1.301 (1.038-1.63),**
SDEPARTAMENTOMOQUEGUA,1.0554,1.055 (0.834-1.335),
SDEPARTAMENTOPASCO,1.2813,1.281 (1.023-1.604),**
SDEPARTAMENTOPIURA,0.6435,0.643 (0.513-0.808),**
SDEPARTAMENTOPUNO,0.6768,0.677 (0.524-0.874),**
SDEPARTAMENTOSAN.MARTIN,1.7901,1.79 (1.44-2.225),**
SDEPARTAMENTOTACNA,1.5517,1.552 (1.23-1.957),**
SDEPARTAMENTOTUMBES,0.7891,0.789 (0.631-0.987),**
SDEPARTAMENTOUCAYALI,1.4565,1.456 (1.171-1.812),**
edad,1.0374,1.037 (1.031-1.044),**
hijos,0.8297,0.83 (0.8-0.86),**
