Variable,OR,OR_CI,Signif
(Intercept),0.0967,0.097 (0.05-0.187),***
niv_educPrimaria,1.2484,1.248 (0.74-2.107),
niv_educSecundaria,1.8839,1.884 (1.116-3.18),**
niv_educSuperior,2.0535,2.054 (1.203-3.504),**
quintil_riqPobre,1.2764,1.276 (1.116-1.46),**
quintil_riqMedio,1.4673,1.467 (1.24-1.736),**
quintil_riqRico,1.4929,1.493 (1.242-1.795),**
quintil_riqMuy rico,1.7807,1.781 (1.417-2.238),**
area_resUrbano,0.9273,0.927 (0.808-1.064),
etnicidadEtnia castellana,1.3057,1.306 (1.089-1.566),**
etnicidadEtnia Extranjera,1.3991,1.399 (0.458-4.272),
seguroSIS,1.1051,1.105 (0.911-1.341),
seguroESSALUD,1.0805,1.08 (0.88-1.327),
situacion_labEmpleo activo,0.9988,0.999 (0.915-1.091),
situacion_labEmpleo en licencia,1.2667,1.267 (0.885-1.813),
estado_civilPareja Estable,1.1372,1.137 (0.995-1.299),
emb_planeadoPlaneado,1.4746,1.475 (1.345-1.617),**
SDEPARTAMENTOANCASH,0.7573,0.757 (0.563-1.019),
SDEPARTAMENTOAPURIMAC,1.2167,1.217 (0.895-1.654),
SDEPARTAMENTOAREQUIPA,0.6806,0.681 (0.511-0.906),**
SDEPARTAMENTOAYACUCHO,0.6128,0.613 (0.461-0.814),**
SDEPARTAMENTOCAJAMARCA,0.651,0.651 (0.47-0.903),**
SDEPARTAMENTOCALLAO,1.0157,1.016 (0.754-1.368),
SDEPARTAMENTOCUSCO,0.6254,0.625 (0.444-0.88),**
SDEPARTAMENTOHUANCAVELICA,0.8797,0.88 (0.649-1.193),
SDEPARTAMENTOHUANUCO,1.4123,1.412 (1.053-1.894),**
SDEPARTAMENTOICA,0.9848,0.985 (0.742-1.307),
SDEPARTAMENTOJUNIN,1.3789,1.379 (1.049-1.812),**
SDEPARTAMENTOLA LIBERTAD,0.6977,0.698 (0.519-0.938),**
SDEPARTAMENTOLAMBAYEQUE,0.8275,0.828 (0.622-1.101),
SDEPARTAMENTOLIMA PROVINCIA,0.8136,0.814 (0.615-1.077),
SDEPARTAMENTOLIMA REGION,0.985,0.985 (0.738-1.315),
SDEPARTAMENTOLORETO,1.4009,1.401 (1.035-1.897),**
SDEPARTAMENTOMADRE DE DIOS,1.2766,1.277 (0.946-1.723),
SDEPARTAMENTOMOQUEGUA,1.0492,1.049 (0.793-1.388),
SDEPARTAMENTOPASCO,1.3142,1.314 (0.997-1.733),
SDEPARTAMENTOPIURA,0.6017,0.602 (0.447-0.809),**
SDEPARTAMENTOPUNO,0.6547,0.655 (0.464-0.924),**
SDEPARTAMENTOSAN MARTIN,1.7494,1.749 (1.304-2.348),**
SDEPARTAMENTOTACNA,1.5741,1.574 (1.157-2.143),**
SDEPARTAMENTOTUMBES,0.7555,0.756 (0.57-1.001),
SDEPARTAMENTOUCAYALI,1.4412,1.441 (1.079-1.926),**
edad,1.0291,1.029 (1.02-1.038),**
hijos,0.8517,0.852 (0.812-0.893),**
num_centros_medicos,1.0001,1 (0.997-1.003),
